"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"xAI","42731221423","2.00E+10","26"
"Databricks","27614821657","1.80E+09","9"
"Decagon","481000000","2.50E+08","4"
"Ricursive Intelligence","335000000","3.00E+08","6"
"Skild AI","1835000000","1.40E+09","18"
"Rogo","154000000","7.50E+07","4"
"humans&","480000000","4.80E+08","12"
"OpenEvidence","767000000","2.50E+08","11"
"Baseten","585000000","3.00E+08","12"
"ClickHouse","1150000000","4.00E+08","16"
