"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Legendary Entertainment","3733447357","1.50E+08","17"
"Statusphere","18000000","1.80E+07","12"
"Samba TV","75663000","3.00E+07","55"
"ShopMy","175000000","7.00E+07","102"
"Agentio","56250000","4.00E+07","75"
"Arcads","16000000","1.60E+07","46"
"Looma","25575000","1.00E+07","47"
"Prorata.AI","65000000","4.00E+07","149"
"AdsGency AI","14780000","1.20E+07","104"
"VideoAmp","606600000","1.50E+08","872"
