"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Northwood Space","136400000","1.00E+08","5"
"CesiumAstro","385239195","2.00E+08","17"
"JetZero","436425102","1.75E+08","19"
"Grid Aero","31583877","2.00E+07","6"
"Hadrian","607807547","1.31E+08","23"
"Boom Supersonic","732496024","3.00E+08","54"
"Castelion","469614995","3.50E+08","58"
"Cambium","127012877","1.00E+08","27"
"Chaos","1000000000","5.10E+08","80"
"K2 Space","425528471","2.50E+08","52"
