"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Ethernovia","154000000","9.00E+07","12"
"Avride","850000000","3.75E+08","102"
"Waymo","11100000000","5.60E+09","558"
"Forterra","649255273","1.88E+08","81"
"Applied Intuition","1501500000","6.00E+08","229"
"Sibros","94500050","9.00E+06","26"
"Nuro","2335148855","9.70E+07","164"
"Point One Navigation","45000000","3.50E+07","73"
"Shield AI","1313144999","2.40E+08","332"
"Swift Navigation","248800000","5.00E+07","193"
