"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"ClickHouse","1150000000","4.00E+08","16"
"Alembic","275407842","1.45E+08","80"
"AppZen","280600000","1.80E+08","132"
"Anaconda","233000000","1.50E+08","185"
"Bedrock Data","35000000","2.50E+07","76"
"CData Software","510000000","3.50E+08","585"
"Statsig","153400000","1.00E+08","271"
"Redpanda Data","265500000","1.00E+08","304"
"Hex Technologies","171500000","7.00E+07","249"
"Cribl","721208560","","523"
