"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"BrainCo","1246702684","2.86E+08","26"
"Proxima","86264999","8.63E+07","19"
"Verana Health","340800000","5.20E+07","24"
"Trailhead Biosystems","61675740","2.00E+07","20"
"Neuralink","1335241769","6.49E+08","250"
"Gate Bioscience","125000000","6.50E+07","80"
"Opentrons","260152303","2.01E+07","58"
"NANOCHON","14316279","4.10E+06","20"
"Lumicell","278617070","1.98E+08","271"
"Arpeggio Bio","40387075","2.00E+07","74"
