"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Ricursive Intelligence","335000000","3.00E+08","6"
"Rogo","154000000","7.50E+07","4"
"Unconventional AI","475000000","4.75E+08","55"
"Yarrow","200000000","2.00E+08","46"
"Emobi","4435000","3.40E+06","4"
"Alembic","275407842","1.45E+08","80"
"SignalRank","27135527","2.20E+07","32"
"Axion","62000000","3.70E+07","48"
"Govini","170000000","1.50E+08","114"
"EliseAI","391928985","2.50E+08","166"
