"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Lambda","3187205501","1.50E+09","75"
"Prime Intellect","70440585","4.99E+07","17"
"Genesys","2979999390","1.50E+09","185"
"MontyCloud","22461143","1.15E+07","19"
"Thunder Compute","4625000","4.50E+06","12"
"Replit","472020000","2.50E+08","186"
"Cloudforce","10000000","1.00E+07","23"
"Vultr","662000000","3.29E+08","223"
"Applied Compute","80000000","8.00E+07","95"
"Talkdesk","592450000","9.50E+07","153"
