"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Upwind Security","430000000","2.50E+08","6"
"LiveKit","181300000","1.00E+08","10"
"Clear Street","655000000","5.00E+07","11"
"Oxide Computer Company","377999882","1.84E+08","25"
"d-Matrix","429000000","2.75E+08","81"
"Vercel","863000000","3.00E+08","124"
"Vultr","662000000","3.29E+08","223"
"Anaconda","233000000","1.50E+08","185"
"TensorWave","146713300","1.00E+08","263"
"Render","156800000","8.00E+07","376"
