"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Sesame","307624975","2.50E+08","103"
"Eight Sleep","262066621","1.00E+08","166"
"Mojo Vision","344900000","7.50E+07","150"
"Tin Can","17750000","1.20E+07","45"
"Material","8105000","8.11E+06","45"
"xMEMS","35999984","2.10E+07","94"
"NextSense","30970588","1.63E+07","82"
"Frore Systems","180000000","8.00E+07","613"
"Avegant","87506471","1.48E+07","256"
"Glass Imaging","31500000","2.00E+07","265"
