"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Claroty","940000000","1.50E+08","10"
"Outtake","56500000","4.00E+07","4"
"Armadin Security","189199989","1.65E+08","19"
"Saviynt","1075000000","7.00E+08","54"
"Cyera","1704500000","4.00E+08","47"
"Armis","1272000000","4.35E+08","88"
"7AI","202000000","1.30E+08","59"
"Adaptive Security","136000000","8.10E+07","47"
"Interos","194850000","2.00E+07","26"
"Quantinuum","925000000","6.00E+08","170"
