"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Databricks","27614821657","1.80E+09","9"
"Artie","15800000","1.20E+07","10"
"OnCorps","73668003","5.50E+07","52"
"Wisdom AI","73000000","5.00E+07","81"
"Observe","463000000","1.56E+08","186"
"Nova Credit","159420000","3.50E+07","110"
"CData Software","510000000","3.50E+08","585"
"Altana","322000000","2.00E+08","552"
"Fivetran","853108000","1.25E+08","990"
"Fleak","7370000","6.00E+06","123"
