"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Databricks","27614821657","1.80E+09","9"
"Wasabi Technologies","619136649","7.00E+07","20"
"Eon","497000000","3.00E+08","61"
"Protege","65000000","3.00E+07","25"
"Fireworks AI","327000000","2.30E+08","96"
"Sibros","94500050","9.00E+06","26"
"Solve Intelligence","55000000","4.00E+07","54"
"Optimizely","1351200000","1.10E+09","423"
"Wisdom AI","73000000","5.00E+07","81"
"Atlas Data Storage","155000000","1.55E+08","272"
