"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Baseten","585000000","3.00E+08","12"
"Railway","120000000","1.00E+08","10"
"Anysphere","3373400000","","80"
"Reflection.Ai","2130000000","2.00E+09","115"
"Lovable","552497744","3.30E+08","45"
"Harness","775000000","2.00E+08","52"
"Chainguard","892000000","2.80E+08","101"
"Digital Asset","492200000","5.00E+07","59"
"Substrate","100000000","1.00E+08","96"
"Replit","472020000","2.50E+08","186"
