"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Predicate","14999997","8.00E+06","19"
"Samba TV","75663000","3.00E+07","55"
"NPR","57700000","3.60E+07","76"
"Looma","25575000","1.00E+07","47"
"TelevisaUnivision","1740700000","2.41E+08","745"
"Yuga Labs","450000000","4.50E+08","1412"
"VideoAmp","606600000","1.50E+08","872"
"Air","63000000","3.50E+07","388"
"WishRoll","17613000","1.71E+07","261"
"GetReal Security","17500000","1.75E+07","312"
