"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Preply","320087289","1.50E+08","11"
"BrainCo","1246702684","2.86E+08","26"
"Parallel Learning","48925000","2.00E+07","54"
"Axiom Math AI","64000000","6.40E+07","123"
"Starbridge","52000000","4.20E+07","103"
"Flint","15500000","1.50E+07","88"
"Skillshare","149650168","1.29E+07","115"
"Ellucian","1600000000","1.60E+09","1963"
"Deepstash","12859019","9.00E+06","103"
"Swing Education","80840000","2.00E+07","201"
