"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Span","393409972","1.63E+08","5"
"Northwood Space","136400000","1.00E+08","5"
"Etched.ai","625360000","5.00E+08","18"
"BrainCo","1246702684","2.86E+08","26"
"Ethernovia","154000000","9.00E+07","12"
"Oxide Computer Company","377999882","1.84E+08","25"
"Cerebras Systems","1820200000","","124"
"Figure","1854000000","1.00E+09","138"
"PsiQuantum","2302168424","","144"
"Quadric","73750000","3.00E+07","18"
