"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Corgi Insurance","108500000","1.08E+08","24"
"WithCoverage","42000000","4.20E+07","19"
"XBuild","19000000","1.90E+07","12"
"Nirvana Insurance","262200000","1.00E+08","45"
"Salvo Health","22017000","8.50E+06","10"
"Angle Health","196000000","1.34E+08","60"
"WeatherPromise","12800000","1.28E+07","19"
"Federato","180000000","1.00E+08","75"
"CyberCube","285000000","1.80E+08","123"
"Kin Insurance","753164957","4.50E+07","115"
