"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Claroty","940000000","1.50E+08","10"
"Upscale AI","300000000","2.00E+08","11"
"Cyera","1704500000","4.00E+08","47"
"WitnessAI","85500000","5.80E+07","19"
"Armis","1272000000","4.35E+08","88"
"7AI","202000000","1.30E+08","59"
"Adaptive Security","136000000","8.10E+07","47"
"Axiado Corporation Inc","205000000","1.00E+08","61"
"Sublime Security","239800000","1.50E+08","96"
"Zafran Security","130500000","6.00E+07","61"
