"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Onebrief","311035237","2.00E+08","19"
"Tulip Interfaces","272500000","1.20E+08","19"
"Harness","775000000","2.00E+08","52"
"Blockit AI","5000000","5.00E+06","10"
"Scribe","130000000","7.50E+07","83"
"AirOps","62500000","4.00E+07","83"
"WorkFusion","386300000","4.50E+07","138"
"Syllo","39433201","3.00E+07","96"
"Clay","202000000","1.00E+08","233"
"Canary Technologies","177000000","8.00E+07","234"
