"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Skild AI","1835000000","1.40E+09","18"
"Mytra","198000000","1.20E+08","17"
"Physical Intelligence","1070000000","6.00E+08","73"
"Apptronik","762789424","3.31E+08","68"
"RISE Robotics","38685874","1.65E+07","11"
"Figure","1854000000","1.00E+09","138"
"Freeform","117882689","5.89E+07","25"
"Avride","850000000","3.75E+08","102"
"Forterra","649255273","1.88E+08","81"
"Neuralink","1335241769","6.49E+08","250"
