"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Ricursive Intelligence","335000000","3.00E+08","6"
"Eliyan","150000000","5.00E+07","4"
"Etched.ai","625360000","5.00E+08","18"
"AheadComputing","83089962","3.00E+07","11"
"Anello Photonics","48255834","2.00E+07","10"
"Cerebras Systems","1820200000","","124"
"PsiQuantum","2302168424","","144"
"Quadric","73750000","3.00E+07","18"
"Groq","1752550552","7.50E+08","137"
"d-Matrix","429000000","2.75E+08","81"
