"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"VoltaGrid","5072600000","5.00E+09","83"
"Lightyear","64579935","1.60E+07","4"
"Forterra","649255273","1.88E+08","81"
"Cohere Technologies","96451027","1.50E+07","26"
"Celero Communications","138399897","1.00E+08","76"
"Lumilens","145703111","1.16E+08","270"
"Astranis","753499998","2.00E+08","557"
"Cresta","276000000","1.25E+08","439"
"Lynk Global","106025000","8.50E+07","355"
"IntelePeer","392139097","1.40E+08","556"
