"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"CesiumAstro","385239195","2.00E+08","17"
"K2 Space","425528471","2.50E+08","52"
"Stoke Space","1046199949","5.10E+08","116"
"Ursa Major","434329970","1.00E+08","75"
"SpaceX","11780343846","","417"
"WeatherPromise","12800000","1.28E+07","19"
"Peek","189900000","7.00E+07","73"
"Orbion Space Technology","56800000","2.71E+07","44"
"Impulse Space","525000000","3.00E+08","243"
"Wander","198123822","5.00E+07","249"
