"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Vercel","863000000","3.00E+08","124"
"GoodDay Software","13000000","7.00E+06","17"
"CoreStory","114066243","3.20E+07","96"
"Titan","74000000","7.40E+07","173"
"Slingshot AI","123000000","5.30E+07","194"
"TinyFish","47000000","4.70E+07","165"
"NavierAI","5600000","5.60E+06","48"
"Sitecore","1200000000","1.20E+09","1839"
"Anything","19500000","1.10E+07","125"
"The Interaction Company of California","15000000","1.50E+07","146"
